Media 20,Media 80,Media_media 20,Media_media 80,Candle,Fechamento_maxima_anterior 1,Fechamento_maxima_anterior 2,Fechamento_maxima_anterior 3,Fechamento_maxima_anterior 4,Fechamento_maxima_anterior 5,Fechamento_maxima_anterior 6,Fechamento_maxima_anterior 7,Fechamento_maxima_anterior 8,Fechamento_maxima_anterior 9,Fechamento_maxima_anterior 10,Fechamento_maxima_anterior 11,Fechamento_maxima_anterior 12,Fechamento_maxima_anterior 13,Fechamento_maxima_anterior 14,Fechamento_maxima_anterior 15,Fechamento_maxima_anterior 16,Fechamento_maxima_anterior 17,Fechamento_maxima_anterior 18,Fechamento_maxima_anterior 19,Fechamento_maxima_anterior 20,Fechamento_maxima_anterior 21,Fechamento_maxima_anterior 22,Fechamento_maxima_anterior 23,Fechamento_maxima_anterior 24,Fechamento_maxima_anterior 25,Fechamento_maxima_anterior 26,Fechamento_maxima_anterior 27,Fechamento_maxima_anterior 28,Fechamento_maxima_anterior 29,Fechamento_maxima_anterior 30,Fechamento_maxima_anterior 31,Fechamento_maxima_anterior 32,Fechamento_maxima_anterior 33,Fechamento_maxima_anterior 34,Fechamento_maxima_anterior 35,Fechamento_maxima_anterior 36,Fechamento_maxima_anterior 37,Fechamento_maxima_anterior 38,Fechamento_maxima_anterior 39,Fechamento_maxima_anterior 40,Fechamento_maxima_anterior 41,Fechamento_maxima_anterior 42,Fechamento_maxima_anterior 43,Fechamento_maxima_anterior 44,Fechamento_maxima_anterior 45,Fechamento_maxima_anterior 46,Fechamento_maxima_anterior 47,Fechamento_maxima_anterior 48,Fechamento_maxima_anterior 49,Fechamento_maxima_anterior 50,Fechamento_fechamento_anterior 1,Fechamento_fechamento_anterior 2,Fechamento_fechamento_anterior 3,Fechamento_fechamento_anterior 4,Fechamento_fechamento_anterior 5,Fechamento_fechamento_anterior 6,Fechamento_fechamento_anterior 7,Fechamento_fechamento_anterior 8,Fechamento_fechamento_anterior 9,Fechamento_fechamento_anterior 10,Fechamento_fechamento_anterior 11,Fechamento_fechamento_anterior 12,Fechamento_fechamento_anterior 13,Fechamento_fechamento_anterior 14,Fechamento_fechamento_anterior 15,Fechamento_fechamento_anterior 16,Fechamento_fechamento_anterior 17,Fechamento_fechamento_anterior 18,Fechamento_fechamento_anterior 19,Fechamento_fechamento_anterior 20,Fechamento_fechamento_anterior 21,Fechamento_fechamento_anterior 22,Fechamento_fechamento_anterior 23,Fechamento_fechamento_anterior 24,Fechamento_fechamento_anterior 25,Fechamento_fechamento_anterior 26,Fechamento_fechamento_anterior 27,Fechamento_fechamento_anterior 28,Fechamento_fechamento_anterior 29,Fechamento_fechamento_anterior 30,Fechamento_fechamento_anterior 31,Fechamento_fechamento_anterior 32,Fechamento_fechamento_anterior 33,Fechamento_fechamento_anterior 34,Fechamento_fechamento_anterior 35,Fechamento_fechamento_anterior 36,Fechamento_fechamento_anterior 37,Fechamento_fechamento_anterior 38,Fechamento_fechamento_anterior 39,Fechamento_fechamento_anterior 40,Fechamento_fechamento_anterior 41,Fechamento_fechamento_anterior 42,Fechamento_fechamento_anterior 43,Fechamento_fechamento_anterior 44,Fechamento_fechamento_anterior 45,Fechamento_fechamento_anterior 46,Fechamento_fechamento_anterior 47,Fechamento_fechamento_anterior 48,Fechamento_fechamento_anterior 49,Fechamento_fechamento_anterior 50,Maxima_maxima_anterior 1,Maxima_maxima_anterior 2,Maxima_maxima_anterior 3,Maxima_maxima_anterior 4,Maxima_maxima_anterior 5,Maxima_maxima_anterior 6,Maxima_maxima_anterior 7,Maxima_maxima_anterior 8,Maxima_maxima_anterior 9,Maxima_maxima_anterior 10,Maxima_maxima_anterior 11,Maxima_maxima_anterior 12,Maxima_maxima_anterior 13,Maxima_maxima_anterior 14,Maxima_maxima_anterior 15,Maxima_maxima_anterior 16,Maxima_maxima_anterior 17,Maxima_maxima_anterior 18,Maxima_maxima_anterior 19,Maxima_maxima_anterior 20,Maxima_maxima_anterior 21,Maxima_maxima_anterior 22,Maxima_maxima_anterior 23,Maxima_maxima_anterior 24,Maxima_maxima_anterior 25,Maxima_maxima_anterior 26,Maxima_maxima_anterior 27,Maxima_maxima_anterior 28,Maxima_maxima_anterior 29,Maxima_maxima_anterior 30,Maxima_maxima_anterior 31,Maxima_maxima_anterior 32,Maxima_maxima_anterior 33,Maxima_maxima_anterior 34,Maxima_maxima_anterior 35,Maxima_maxima_anterior 36,Maxima_maxima_anterior 37,Maxima_maxima_anterior 38,Maxima_maxima_anterior 39,Maxima_maxima_anterior 40,Maxima_maxima_anterior 41,Maxima_maxima_anterior 42,Maxima_maxima_anterior 43,Maxima_maxima_anterior 44,Maxima_maxima_anterior 45,Maxima_maxima_anterior 46,Maxima_maxima_anterior 47,Maxima_maxima_anterior 48,Maxima_maxima_anterior 49,Maxima_maxima_anterior 50,Resultado
1,0,1,0,1,1,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,1,1,0,0,1,1,1,0,1,1,0,1,0,0,1,1,1,1,1,0,1,0,0,0,0,1,1,0,1,1,1,0,1,1,1,0,1,0,0,1,0,1,0,1,0,1,1,0,1,1,1,1,0,1,1,1,0,0,1,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,1,0,0,1,0,1,0,1,1,1,0,0,1,1,0
1,0,1,0,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,1,0,1,1,0,1,0,0,1,1,1,1,1,0,1,0,0,0,0,1,1,0,1,1,1,0,1,1,1,0,1,0,0,1,0,1,0,1,0,1,1,1,1,0,1,1,0,1,1,1,0,0,1,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,0,1,1,0,0,1,1,1,0,1,0,0,1,0,1,0,1,1,1,0,0
1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,1,1,0,1,1,0,1,0,0,1,1,1,0,1,0,1,0,0,0,0,1,1,0,1,1,1,0,1,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,1,0,1,1,1,0,0,1,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,0,1,1,0,0,1,1,1,0,1,0,0,1,0,1,0,0
1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,1,1,0,0,1,1,1,0,1,1,0,1,0,0,1,1,1,1,1,0,1,0,0,0,0,1,1,0,1,1,1,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,1,0,0,1,0,1,0
0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,1,1,1,0,1,1,0,1,0,0,1,1,1,0,1,0,1,0,0,0,0,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,0,1,1,0,1,0,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,0,1,1,0,0,1,1,1,0,1,0
0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,1,1,1,0,1,1,0,1,0,0,1,1,1,0,1,0,1,0,0,0,0,1,1,0,1,1,1,0,1,0,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,1,1,1,0,1,1,1,0,0,1,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,0,1,1,0,0,1,0
0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,1,1,1,0,1,1,0,1,0,0,1,1,1,1,1,0,1,0,0,0,0,1,1,0,1,1,1,0,1,0,0,0,1,1,0,0,0,0,1,1,0,1,0,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0
0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,1,1,1,0,1,1,0,1,0,0,1,1,1,1,1,0,1,0,0,0,0,1,1,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,1,1,0,1,0,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0
0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,1,1,1,0,1,1,0,1,0,0,1,1,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,1,0,1,0,1,1,0,1,1,0,1,1,1,0,0,1,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0
0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,1,1,1,0,1,1,0,1,0,0,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,1,0,1,0,1,1,0,1,1,0,1,1,1,0,0,1,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0
0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,1,1,1,0,1,1,0,1,0,0,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,1,0,1,0,1,1,0,1,1,0,1,1,1,0,0,1,0,0,1,0,0,1,1,1,1,1,1,0,0,1
0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,1,1,1,0,1,1,0,1,0,0,1,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,1,1,1,0,1,1,1,0,0,1,0,1,1,0,0,1,1,1,1,1,1,0,0
0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,1,1,1,0,1,1,0,1,0,0,1,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,1,0,1,0,1,1,1,1,1,0,1,1,1,0,0,1,1,0,1,0,0,1,1,1,1,1,0
0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,1,1,0,0,1,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,1,1,1,0,1,1,0,1,0,0,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,1,0,1,0,1,1,1,1,1,0,1,1,1,0,0,1,0,1,1,0,0,1,1,1,1,0
1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,1,1,0,0,1,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,1,1,1,0,1,1,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,1,0,1,0,1,1,0,1,1,0,1,1,1,0,0,1,0,0,1,0,0,1,0
1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,1,1,0,0,1,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,1,1,1,0,1,1,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,1,1,1,0,1,1,1,0,0,1,0,1,1,0,0,0
